date3,yobs,robs,infobs
2012Q4,0.004899328630428,0.01598810538413,0.03678853310772
2013Q1,0.002846245475819,0.01598810538413,0.044461360810665
2013Q2,0.000359853919818,0.01703333929878,0.047780924741197
2013Q3,-0.002890886258908,0.01703333929878,0.049024097915049
2013Q4,-0.00645626395183,0.01703333929878,0.054995861529142
2014Q1,-0.010010159408178,0.019116290447073,0.058881339349561
2014Q2,-0.0128223422548,0.019116290447073,0.060660073974015
2014Q3,-0.014550484973883,0.020154031638333,0.066214075471244
2014Q4,-0.01525341686463,0.022222104507706,0.068148740973294
2015Q1,-0.015332512837458,0.022222104507706,0.066847510973899
2015Q2,-0.01470080175447,0.023252459633712,0.068482713761754
2015Q3,-0.014004255417144,0.026328938722349,0.069520100835226
2015Q4,-0.013364521003722,0.027349607774757,0.070776462843435
